t	P
0.000000	8
0.100000	62
0.200000	61
0.300000	20
0.400000	-91
0.500000	-201
0.600000	-312
0.700000	-422
0.800000	-533
0.900000	-643
1.000000	-753
1.100000	-864
1.200000	-974
1.300000	-1084
1.400000	-1194
1.500000	-1304
1.600000	-1414
1.700000	-1524
1.800000	-1634
1.900000	-1744
2.000000	-1854
2.100000	-1964
2.200000	-2073
2.300000	-2150
2.400000	-2172
2.500000	-2172
2.600000	-2172
2.700000	-2172
2.800000	-2172
2.900000	-2172
3.000000	-2172
3.100000	-2172
3.200000	-2172
3.300000	-2172
3.400000	-2172
3.500000	-2172
3.600000	-2172
3.700000	-2172
3.800000	-2172
3.900000	-2172
4.000000	-2172
4.100000	-2172
4.200000	-2172
4.300000	-2172
4.400000	-2172
4.500000	-2172
4.600000	-2172
4.700000	-2172
4.800000	-2172
4.900000	-2172
5.000000	-2172
5.100000	-2172
5.200000	-2172
5.300000	-2172
5.400000	-2172
5.500000	-2172
5.600000	-2172
5.700000	-2172
5.800000	-2172
5.900000	-2172
6.000000	-2172
6.100000	-2172
6.200000	-2172
6.300000	-2172
6.400000	-2172
6.500000	-2172
6.600000	-2172
6.700000	-2172
6.800000	-2172
6.900000	-2172
7.000000	-2172
7.100000	-2172
7.200000	-2172
7.300000	-2172
7.400000	-2172
7.500000	-2172
7.600000	-2172
7.700000	-2172
7.800000	-2172
7.900000	-2172
8.000000	-2172
8.100000	-2172
8.200000	-2172
8.300000	-2172
8.400000	-2172
8.500000	-2172
8.600000	-2172
8.700000	-2172
8.800000	-2172
8.900000	-2172
9.000000	-2172
9.100000	-2172
9.200000	-2172
9.300000	-2172
9.400000	-2172
9.500000	-2172
9.600000	-2172
9.700000	-2172
9.800000	-2172
9.900000	-2172
10.000000	-2172
10.100000	-2172
10.200000	-2172
10.300000	-2155
10.400000	-2067
10.500000	-1979
10.600000	-1917
10.700000	-1917
10.800000	-1917
10.900000	-1917
11.000000	-1917
11.100000	-1917
11.200000	-1917
11.300000	-1917
11.400000	-1917
11.500000	-1917
11.600000	-1917
11.700000	-1917
11.800000	-1917
11.900000	-1917
12.000000	-1917
12.100000	-1917
12.200000	-1917
12.300000	-1917
12.400000	-1917
12.500000	-1917
12.600000	-1917
12.700000	-1917
12.800000	-1917
12.900000	-1917
13.000000	-1917
13.100000	-1917
13.200000	-1917
13.300000	-1917
13.400000	-1917
13.500000	-1917
13.600000	-1917
13.700000	-1917
13.800000	-1917
13.900000	-1917
14.000000	-1917
14.100000	-1917
14.200000	-1917
14.300000	-1917
14.400000	-1917
14.500000	-1917
14.600000	-1917
14.700000	-1917
14.800000	-1917
14.900000	-1917
15.000000	-1917
15.100000	-1917
15.200000	-1917
15.300000	-1917
15.400000	-1917
15.500000	-1917
15.600000	-1917
15.700000	-1917
15.800000	-1917
15.900000	-1917
16.000000	-1917
16.100000	-1917
16.200000	-1917
16.300000	-1917
16.400000	-1917
16.500000	-1917
16.600000	-1917
16.700000	-1917
16.800000	-1917
16.900000	-1917
17.000000	-1917
17.100000	-1917
17.200000	-1917
17.300000	-1917
17.400000	-1917
17.500000	-1917
17.600000	-1917
17.700000	-1917
17.800000	-1917
17.900000	-1917
18.000000	-1917
18.100000	-1917
18.200000	-1917
18.300000	-1917
18.400000	-1917
18.500000	-1917
18.600000	-1917
18.700000	-1917
18.800000	-1917
18.900000	-1917
19.000000	-1917
19.100000	-1917
19.200000	-1917
19.300000	-1917
19.400000	-1917
19.500000	-1917
19.600000	-1917
19.700000	-1917
19.800000	-1917
19.900000	-1917
20.000000	-1917
20.100000	-1917
20.200000	-1917
20.300000	-1917
20.400000	-1917
20.500000	-1917
20.600000	-1891
20.700000	-1803
20.800000	-1715
20.900000	-1663
21.000000	-1663
21.100000	-1663
21.200000	-1663
21.300000	-1663
21.400000	-1663
21.500000	-1663
21.600000	-1663
21.700000	-1663
21.800000	-1663
21.900000	-1663
22.000000	-1663
22.100000	-1663
22.200000	-1663
22.300000	-1663
22.400000	-1663
22.500000	-1663
22.600000	-1663
22.700000	-1663
22.800000	-1663
22.900000	-1663
23.000000	-1663
23.100000	-1663
23.200000	-1663
23.300000	-1663
23.400000	-1663
23.500000	-1663
23.600000	-1663
23.700000	-1663
23.800000	-1663
23.900000	-1663
24.000000	-1663
24.100000	-1663
24.200000	-1663
24.300000	-1663
24.400000	-1663
