tauA	D
0.745000	849.759188
0.746000	849.351873
0.747000	848.932005
0.748000	848.746071
0.749000	848.503217
0.750000	848.237019
0.751000	847.987497
0.752000	847.832265
0.753000	847.665522
0.754000	847.514462
0.755000	847.413560
0.756000	847.299815
0.757000	847.251108
0.758000	847.213585
0.759000	847.201699
0.760000	847.246640
0.761000	847.254100
0.762000	847.304628
0.763000	847.397904
0.764000	847.497923
0.765000	847.616401
0.766000	847.794727
0.767000	847.959648
0.768000	848.124425
0.769000	848.335502
0.770000	848.802996
0.771000	848.830610
0.772000	849.069541
0.773000	849.429085
0.774000	849.696710
0.775000	850.027693
