t	QA
0.000000	0.000000
1.000000	0.000000
2.000000	0.000000
3.000000	0.000000
4.000000	0.000000
5.000000	0.000000
6.000000	0.000000
7.000000	0.000000
8.000000	0.000000
9.000000	0.000000
10.000000	0.000000
11.000000	0.000000
12.000000	0.696964
13.000000	0.718222
14.000000	0.730495
15.000000	0.746736
16.000000	0.767042
17.000000	0.775620
18.000000	0.794641
19.000000	0.807114
20.000000	0.819234
21.000000	0.831353
22.000000	0.843483
23.000000	0.851573
24.000000	0.867736
25.000000	0.875827
26.000000	0.887837
27.000000	0.896052
28.000000	0.904176
29.000000	0.917461
30.000000	0.921546
31.000000	0.929683
32.000000	0.937825
33.000000	0.945337
34.000000	0.955330
35.000000	0.959473
36.000000	0.963583
37.000000	0.972977
38.000000	0.977107
39.000000	0.980548
40.000000	0.986493
41.000000	0.990646
42.000000	0.994792
43.000000	0.995854
44.000000	1.000029
45.000000	1.004208
46.000000	1.005164
47.000000	1.005324
48.000000	1.010195
49.000000	1.010218
50.000000	1.011603
51.000000	1.015149
52.000000	1.010963
53.000000	1.011515
54.000000	1.011544
55.000000	1.011954
56.000000	1.007730
57.000000	1.007292
58.000000	1.003734
59.000000	1.002130
60.000000	1.000321
61.000000	0.995920
62.000000	0.995223
63.000000	0.988614
64.000000	0.986385
65.000000	0.977757
66.000000	0.978280
67.000000	0.965530
68.000000	0.966377
69.000000	0.951819
70.000000	0.955385
71.000000	0.942260
72.000000	0.936887
73.000000	0.928114
74.000000	0.922625
75.000000	0.909331
76.000000	0.908000
77.000000	0.891497
78.000000	0.888792
79.000000	0.875480
80.000000	0.864893
81.000000	0.855995
82.000000	0.845210
83.000000	0.834260
84.000000	0.820823
85.000000	0.814170
86.000000	0.796194
87.000000	0.793870
88.000000	0.770674
89.000000	0.764320
90.000000	0.748690
91.000000	0.734529
92.000000	0.724261
93.000000	0.698591
94.000000	0.696998
95.000000	0.668320
96.000000	0.637338
97.000000	0.000000
98.000000	0.000000
99.000000	0.000000
100.000000	0.000000
101.000000	0.000000
102.000000	0.000000
103.000000	0.000000
104.000000	0.000000
105.000000	0.000000
106.000000	0.000000
107.000000	0.000000
108.000000	0.000000
109.000000	0.000000
110.000000	0.000000
111.000000	0.405763
112.000000	1.105120
113.000000	0.000000
114.000000	1.049409
115.000000	0.000000
116.000000	0.000000
117.000000	0.905637
118.000000	0.000000
119.000000	0.000000
120.000000	0.000000
121.000000	0.000000
122.000000	0.000000
123.000000	0.000000
124.000000	0.000000
125.000000	0.577795
126.000000	0.000000
127.000000	0.000000
128.000000	0.000000
129.000000	0.000000
130.000000	0.000000
131.000000	0.000000
132.000000	0.000000
133.000000	0.000000
134.000000	0.000000
135.000000	0.000000
136.000000	0.000000
137.000000	0.000000
138.000000	0.000000
139.000000	0.000000
140.000000	0.000000
141.000000	0.000000
142.000000	0.000000
143.000000	0.000000
144.000000	0.000000
145.000000	0.000000
146.000000	0.000000
147.000000	0.000000
148.000000	0.000000
149.000000	0.000000
150.000000	0.000000
151.000000	0.000000
152.000000	0.000000
153.000000	0.000000
154.000000	0.000000
155.000000	0.000000
156.000000	0.000000
157.000000	0.000000
158.000000	0.000000
159.000000	0.000000
160.000000	0.000000
161.000000	0.000000
162.000000	0.000000
163.000000	0.000000
164.000000	0.000000
165.000000	0.000000
166.000000	0.000000
167.000000	0.000000
168.000000	0.000000
169.000000	0.000000
170.000000	0.000000
171.000000	0.000000
172.000000	0.000000
173.000000	0.000000
174.000000	0.000000
175.000000	0.000000
176.000000	0.000000
177.000000	0.000000
178.000000	0.000000
179.000000	0.000000
180.000000	0.000000
181.000000	0.000000
182.000000	0.000000
183.000000	0.000000
184.000000	0.000000
185.000000	0.000000
186.000000	0.000000
187.000000	0.000000
188.000000	0.000000
189.000000	0.000000
190.000000	0.000000
191.000000	0.000000
192.000000	0.000000
193.000000	0.000000
194.000000	0.000000
195.000000	0.000000
196.000000	0.000000
197.000000	0.000000
198.000000	0.000000
199.000000	0.000000
200.000000	0.000000
201.000000	0.000000
202.000000	0.000000
203.000000	0.000000
204.000000	0.000000
205.000000	0.000000
206.000000	0.000000
207.000000	0.000000
208.000000	0.000000
209.000000	0.000000
210.000000	0.000000
211.000000	0.000000
212.000000	0.000000
213.000000	0.000000
214.000000	0.000000
215.000000	0.000000
216.000000	0.000000
217.000000	0.000000
218.000000	0.000000
219.000000	0.000000
220.000000	0.000000
221.000000	0.000000
222.000000	0.000000
223.000000	0.000000
224.000000	0.000000
225.000000	0.000000
226.000000	0.000000
227.000000	0.000000
228.000000	0.000000
229.000000	0.000000
230.000000	0.000000
231.000000	0.000000
232.000000	0.000000
233.000000	0.000000
234.000000	0.000000
235.000000	0.000000
236.000000	0.000000
237.000000	0.000000
238.000000	0.000000
239.000000	0.000000
240.000000	0.000000
241.000000	0.000000
242.000000	0.000000
243.000000	0.000000
244.000000	0.000000
245.000000	0.000000
246.000000	0.000000
247.000000	0.000000
248.000000	0.000000
249.000000	0.000000
250.000000	0.000000
251.000000	0.000000
252.000000	0.000000
253.000000	0.000000
254.000000	0.000000
255.000000	0.000000
256.000000	0.000000
257.000000	0.000000
258.000000	0.000000
259.000000	0.000000
260.000000	0.000000
261.000000	0.000000
