t	m1
0.000000	92.318993
1.000000	92.318993
2.000000	92.318993
3.000000	92.318993
4.000000	92.318993
5.000000	92.318993
6.000000	92.318993
7.000000	92.318993
8.000000	92.318993
9.000000	92.318993
10.000000	92.318993
11.000000	92.318993
12.000000	92.038731
13.000000	91.439108
14.000000	90.823788
15.000000	90.193783
16.000000	89.551546
17.000000	88.896483
18.000000	88.229182
19.000000	87.549102
20.000000	86.858505
21.000000	86.157395
22.000000	85.445768
23.000000	84.725001
24.000000	83.993840
25.000000	83.253125
26.000000	82.505725
27.000000	81.748486
28.000000	80.983246
29.000000	80.210208
30.000000	79.429760
31.000000	78.642383
32.000000	77.849865
33.000000	77.049478
34.000000	76.242898
35.000000	75.430281
36.000000	74.613597
37.000000	73.791399
38.000000	72.963541
39.000000	72.133055
40.000000	71.297432
41.000000	70.457809
42.000000	69.615548
43.000000	68.769295
44.000000	67.919953
45.000000	67.069437
46.000000	66.214408
47.000000	65.358470
48.000000	64.502305
49.000000	63.643535
50.000000	62.784614
51.000000	61.924091
52.000000	61.064025
53.000000	60.203210
54.000000	59.343204
55.000000	58.484719
56.000000	57.625064
57.000000	56.768360
58.000000	55.911708
59.000000	55.060114
60.000000	54.206775
61.000000	53.358846
62.000000	52.512393
63.000000	51.669530
64.000000	50.830036
65.000000	49.995595
66.000000	49.162921
67.000000	48.335526
68.000000	47.514115
69.000000	46.695513
70.000000	45.885289
71.000000	45.078451
72.000000	44.278358
73.000000	43.485080
74.000000	42.697718
75.000000	41.916522
76.000000	41.143294
77.000000	40.378281
78.000000	39.619824
79.000000	38.871385
80.000000	38.128450
81.000000	37.398076
82.000000	36.673231
83.000000	35.959625
84.000000	35.253907
85.000000	34.559437
86.000000	33.873838
87.000000	33.198132
88.000000	32.535392
89.000000	31.882012
90.000000	31.240463
91.000000	30.609388
92.000000	29.990881
93.000000	29.382956
94.000000	28.788357
95.000000	28.205283
96.000000	27.634911
97.000000	27.082923
98.000000	26.537911
99.000000	26.007199
100.000000	25.489340
101.000000	24.977898
102.000000	24.476531
103.000000	23.999130
104.000000	23.538644
105.000000	23.090836
106.000000	22.658477
107.000000	22.241535
108.000000	21.839346
109.000000	21.453115
110.000000	21.080227
111.000000	20.722872
112.000000	20.378926
113.000000	20.059174
114.000000	19.745126
115.000000	19.454145
116.000000	19.181436
117.000000	18.913627
118.000000	18.673559
119.000000	18.443730
120.000000	18.231471
121.000000	18.037267
122.000000	17.860730
123.000000	17.700502
124.000000	17.555763
125.000000	17.424549
126.000000	17.318275
127.000000	17.221759
128.000000	17.143807
129.000000	17.083825
130.000000	17.043322
131.000000	17.018479
132.000000	17.008340
133.000000	17.008340
134.000000	17.008340
135.000000	17.008340
136.000000	17.008340
137.000000	17.008340
138.000000	17.008340
139.000000	17.008340
140.000000	17.008340
141.000000	17.008340
142.000000	17.008340
143.000000	17.008340
144.000000	17.008340
145.000000	17.008340
146.000000	17.008340
147.000000	17.008340
148.000000	17.008340
149.000000	17.008340
150.000000	17.008340
151.000000	17.008340
152.000000	17.008340
153.000000	17.008340
154.000000	17.008340
155.000000	17.008340
156.000000	17.008340
157.000000	17.008340
158.000000	17.008340
159.000000	17.008340
160.000000	17.008340
161.000000	17.008340
162.000000	17.008340
163.000000	17.008340
164.000000	17.008340
165.000000	17.008340
166.000000	17.008340
167.000000	17.008340
168.000000	17.008340
169.000000	17.008340
170.000000	17.008340
171.000000	17.008340
172.000000	17.008340
173.000000	17.008340
174.000000	17.008340
175.000000	17.008340
176.000000	17.008340
177.000000	17.008340
178.000000	17.008340
179.000000	17.008340
180.000000	17.008340
181.000000	17.008340
182.000000	17.008340
183.000000	17.008340
184.000000	17.008340
185.000000	17.008340
186.000000	17.008340
187.000000	17.008340
188.000000	17.008340
189.000000	17.008340
190.000000	17.008340
191.000000	17.008340
192.000000	17.008340
193.000000	17.008340
194.000000	17.008340
195.000000	17.008340
196.000000	17.008340
197.000000	17.008340
198.000000	17.008340
199.000000	17.008340
200.000000	17.008340
201.000000	17.008340
202.000000	17.008340
203.000000	17.008340
204.000000	17.008340
205.000000	17.008340
206.000000	17.008340
207.000000	17.008340
208.000000	17.008340
209.000000	17.008340
210.000000	17.008340
211.000000	17.008340
212.000000	17.008340
213.000000	17.008340
214.000000	17.008340
215.000000	17.008340
216.000000	17.008340
217.000000	17.008340
218.000000	17.008340
219.000000	17.008340
220.000000	17.008340
221.000000	17.008340
222.000000	17.008340
223.000000	17.008340
224.000000	17.008340
225.000000	17.008340
226.000000	17.008340
227.000000	17.008340
228.000000	17.008340
229.000000	17.008340
230.000000	17.008340
231.000000	17.008340
232.000000	17.008340
233.000000	17.008340
234.000000	17.008340
235.000000	17.008340
236.000000	17.008340
237.000000	17.008340
238.000000	17.008340
239.000000	17.008340
240.000000	17.008340
241.000000	17.008340
242.000000	17.008340
243.000000	17.008340
244.000000	17.008340
245.000000	17.008340
246.000000	17.008340
247.000000	17.008340
248.000000	17.008340
249.000000	17.008340
250.000000	17.008340
251.000000	17.008340
252.000000	17.008340
253.000000	17.008340
254.000000	17.008340
255.000000	17.008340
256.000000	17.008340
257.000000	17.008340
258.000000	17.008340
259.000000	17.008340
260.000000	17.008340
261.000000	17.008340
262.000000	17.008340
263.000000	17.008340
264.000000	92.318993
265.000000	92.318993
266.000000	92.318993
267.000000	92.318993
268.000000	92.318993
269.000000	92.318993
270.000000	92.318993
271.000000	92.318993
272.000000	92.318993
273.000000	92.318993
274.000000	92.318993
275.000000	92.318993
276.000000	92.087309
277.000000	91.487355
278.000000	90.871699
279.000000	90.241347
280.000000	89.598753
281.000000	88.943336
282.000000	88.275673
283.000000	87.595226
284.000000	86.904258
285.000000	86.202768
286.000000	85.490756
287.000000	84.769601
288.000000	84.038040
289.000000	83.296923
290.000000	82.549116
291.000000	81.791468
292.000000	81.025819
293.000000	80.252365
294.000000	79.471503
295.000000	78.683703
296.000000	77.890760
297.000000	77.089941
298.000000	76.282924
299.000000	75.469869
300.000000	74.652747
301.000000	73.806439
302.000000	72.945901
303.000000	72.109335
304.000000	71.273977
305.000000	70.434619
306.000000	69.592624
307.000000	68.746640
308.000000	67.897568
309.000000	67.047326
310.000000	66.192575
311.000000	65.336915
312.000000	64.481025
313.000000	63.622530
314.000000	62.763883
315.000000	61.903632
316.000000	61.043843
317.000000	60.183304
318.000000	59.323576
319.000000	58.465369
320.000000	57.605996
321.000000	56.749569
322.000000	55.893194
323.000000	55.041873
324.000000	54.188807
325.000000	53.341151
326.000000	52.494970
327.000000	51.652383
328.000000	50.813162
329.000000	49.978995
330.000000	49.146593
331.000000	48.319468
332.000000	47.498319
333.000000	46.679987
334.000000	45.870020
335.000000	45.063447
336.000000	44.263615
337.000000	43.470597
338.000000	42.683493
339.000000	41.902557
340.000000	41.129579
341.000000	40.364821
342.000000	39.606608
343.000000	38.858415
344.000000	38.115723
345.000000	37.385588
346.000000	36.660982
347.000000	35.947611
348.000000	35.242129
349.000000	34.547886
350.000000	33.862519
351.000000	33.187032
352.000000	32.524517
353.000000	31.871350
354.000000	31.230015
355.000000	30.599149
356.000000	29.980846
357.000000	29.373129
358.000000	28.778722
359.000000	28.195852
360.000000	27.625667
361.000000	27.073875
362.000000	26.529047
363.000000	25.998510
364.000000	25.480827
365.000000	24.977697
366.000000	24.487368
367.000000	24.011823
368.000000	23.551095
369.000000	23.103055
370.000000	22.670471
371.000000	22.253314
372.000000	21.850916
