t	P_2
0.000000	0.000000
0.100000	0.000000
0.200000	0.000000
0.300000	0.000000
0.400000	0.000000
0.500000	0.000000
0.600000	0.000000
0.700000	0.000000
0.800000	0.000000
0.900000	0.000000
1.000000	0.000000
1.100000	0.000000
1.200000	0.000000
1.300000	0.000000
1.400000	0.000000
1.500000	0.000000
1.600000	0.000000
1.700000	0.000000
1.800000	0.000000
1.900000	0.000000
2.000000	0.000000
2.100000	0.000000
2.200000	0.000000
2.300000	13.547758
2.400000	32.571967
2.500000	52.854868
2.600000	73.703551
2.700000	94.886829
2.800000	116.392520
2.900000	138.145864
3.000000	160.112085
3.100000	182.343450
3.200000	204.797881
3.300000	227.447680
3.400000	250.338331
3.500000	273.460856
3.600000	296.819566
3.700000	320.373486
3.800000	344.124520
3.900000	368.086145
4.000000	392.219374
4.100000	416.530453
4.200000	441.052348
4.300000	465.749447
4.400000	490.617089
4.500000	515.702368
4.600000	540.958543
4.700000	566.406101
4.800000	592.005769
4.900000	550.963695
5.000000	465.810293
5.100000	381.015021
5.200000	296.443013
5.300000	212.076053
5.400000	127.917877
5.500000	43.926113
5.600000	-39.792570
5.700000	-123.282731
5.800000	-206.597446
5.900000	-289.728117
6.000000	-372.725665
6.100000	-455.562183
6.200000	-538.152029
6.300000	-598.475625
6.400000	-570.726378
6.500000	-542.933805
6.600000	-515.071871
6.700000	-487.106330
6.800000	-459.048202
6.900000	-430.899585
7.000000	-402.652172
7.100000	-374.281739
7.200000	-345.829499
7.300000	-317.292994
7.400000	-288.720064
7.500000	-260.068707
7.600000	-231.321462
7.700000	-202.498931
7.800000	-173.596672
7.900000	-144.637821
8.000000	-115.636159
8.100000	-86.552023
8.200000	-57.422515
8.300000	-28.217962
8.400000	1.029200
8.500000	30.338293
8.600000	59.712657
8.700000	89.177413
8.800000	118.647910
8.900000	148.158573
9.000000	177.669632
9.100000	207.202882
9.200000	236.790534
9.300000	266.399450
9.400000	296.015456
9.500000	325.639932
9.600000	355.282859
9.700000	384.971361
9.800000	414.650075
9.900000	444.303310
10.000000	473.977627
10.100000	503.673038
10.200000	533.391566
10.300000	563.083133
10.400000	592.713578
10.500000	619.777054
10.600000	625.495576
10.700000	584.689414
10.800000	518.879577
10.900000	450.907387
11.000000	382.999143
11.100000	315.026280
11.200000	247.013396
11.300000	179.067700
11.400000	111.162829
11.500000	43.191609
11.600000	-24.796047
11.700000	-92.706699
11.800000	-160.612639
11.900000	-228.565920
