T	1.01
k	43
112.60 	22.40 	-6 
112.60 	22.45 	-15 
112.60 	22.50 	1 
112.60 	22.55 	-18 
112.60 	22.60 	19 
112.60 	22.65 	6 
112.60 	22.70 	-10 
112.60 	22.75 	14 
112.60 	22.80 	-15 
112.60 	22.85 	-8 
112.60 	22.90 	-14 
112.60 	22.95 	1 
112.60 	23.00 	-6 
112.60 	23.05 	17 
112.60 	23.10 	-4 
112.60 	23.15 	-12 
112.60 	23.20 	7 
112.60 	23.25 	10 
112.60 	23.30 	-11 
112.60 	23.35 	-8 
112.60 	23.40 	-13 
112.60 	23.45 	-7 
112.60 	23.50 	10 
112.60 	23.55 	9 
112.60 	23.60 	3 
112.65 	22.40 	11 
112.65 	22.45 	-16 
112.65 	22.50 	-14 
112.65 	22.55 	-3 
112.65 	22.60 	10 
112.65 	22.65 	-4 
112.65 	22.70 	9 
112.65 	22.75 	-20 
112.65 	22.80 	14 
112.65 	22.85 	-18 
112.65 	22.90 	20 
112.65 	22.95 	16 
112.65 	23.00 	16 
112.65 	23.05 	6 
112.65 	23.10 	-6 
112.65 	23.15 	12 
112.65 	23.20 	-11 
112.65 	23.25 	-2 
112.65 	23.30 	12 
112.65 	23.35 	-15 
112.65 	23.40 	18 
112.65 	23.45 	-16 
112.65 	23.50 	-12 
112.65 	23.55 	15 
112.65 	23.60 	-20 
112.70 	22.40 	-5 
112.70 	22.45 	-8 
112.70 	22.50 	-4 
112.70 	22.55 	8 
112.70 	22.60 	-14 
112.70 	22.65 	19 
112.70 	22.70 	-15 
112.70 	22.75 	8 
112.70 	22.80 	-17 
112.70 	22.85 	-5 
112.70 	22.90 	-20 
112.70 	22.95 	11 
112.70 	23.00 	14 
112.70 	23.05 	10 
112.70 	23.10 	20 
112.70 	23.15 	18 
112.70 	23.20 	-16 
112.70 	23.25 	-2 
112.70 	23.30 	4 
112.70 	23.35 	-17 
112.70 	23.40 	0 
112.70 	23.45 	-20 
112.70 	23.50 	11 
112.70 	23.55 	-14 
112.70 	23.60 	9 
112.75 	22.40 	-4 
112.75 	22.45 	-7 
112.75 	22.50 	-19 
112.75 	22.55 	-5 
112.75 	22.60 	-5 
112.75 	22.65 	-11 
112.75 	22.70 	-13 
112.75 	22.75 	6 
112.75 	22.80 	-2 
112.75 	22.85 	16 
112.75 	22.90 	-7 
112.75 	22.95 	-2 
112.75 	23.00 	16 
112.75 	23.05 	-1 
112.75 	23.10 	-3 
112.75 	23.15 	6 
112.75 	23.20 	14 
112.75 	23.25 	1 
112.75 	23.30 	-6 
112.75 	23.35 	15 
112.75 	23.40 	-2 
112.75 	23.45 	4 
112.75 	23.50 	17 
112.75 	23.55 	-16 
112.75 	23.60 	3 
112.80 	22.40 	-5 
112.80 	22.45 	-4 
112.80 	22.50 	8 
112.80 	22.55 	-10 
112.80 	22.60 	-10 
112.80 	22.65 	-4 
112.80 	22.70 	12 
112.80 	22.75 	-11 
112.80 	22.80 	0 
112.80 	22.85 	-17 
112.80 	22.90 	1 
112.80 	22.95 	-11 
112.80 	23.00 	-10 
112.80 	23.05 	4 
112.80 	23.10 	12 
112.80 	23.15 	-2 
112.80 	23.20 	-2 
112.80 	23.25 	6 
112.80 	23.30 	16 
112.80 	23.35 	-6 
112.80 	23.40 	15 
112.80 	23.45 	-16 
112.80 	23.50 	6 
112.80 	23.55 	8 
112.80 	23.60 	4 
112.85 	22.40 	9 
112.85 	22.45 	-1 
112.85 	22.50 	19 
112.85 	22.55 	-1 
112.85 	22.60 	-20 
112.85 	22.65 	-2 
112.85 	22.70 	1 
112.85 	22.75 	18 
112.85 	22.80 	-3 
112.85 	22.85 	6 
112.85 	22.90 	-4 
112.85 	22.95 	12 
112.85 	23.00 	17 
112.85 	23.05 	-5 
112.85 	23.10 	-12 
112.85 	23.15 	-1 
112.85 	23.20 	8 
112.85 	23.25 	0 
112.85 	23.30 	20 
112.85 	23.35 	-15 
112.85 	23.40 	-19 
112.85 	23.45 	-20 
112.85 	23.50 	-18 
112.85 	23.55 	9 
112.85 	23.60 	-10 
112.90 	22.40 	-1 
112.90 	22.45 	-13 
112.90 	22.50 	-17 
112.90 	22.55 	1 
112.90 	22.60 	20 
112.90 	22.65 	17 
112.90 	22.70 	14 
112.90 	22.75 	-11 
112.90 	22.80 	9 
112.90 	22.85 	-10 
112.90 	22.90 	14 
112.90 	22.95 	-11 
112.90 	23.00 	-1 
112.90 	23.05 	-17 
112.90 	23.10 	11 
112.90 	23.15 	10 
112.90 	23.20 	-19 
112.90 	23.25 	-2 
112.90 	23.30 	9 
112.90 	23.35 	-18 
112.90 	23.40 	-14 
112.90 	23.45 	1 
112.90 	23.50 	14 
112.90 	23.55 	-2 
112.90 	23.60 	13 
112.95 	22.40 	-11 
112.95 	22.45 	20 
112.95 	22.50 	-9 
112.95 	22.55 	1 
112.95 	22.60 	16 
112.95 	22.65 	14 
112.95 	22.70 	-12 
112.95 	22.75 	-4 
112.95 	22.80 	-10 
112.95 	22.85 	15 
112.95 	22.90 	-15 
112.95 	22.95 	-19 
112.95 	23.00 	2 
112.95 	23.05 	-4 
112.95 	23.10 	-15 
112.95 	23.15 	-1 
112.95 	23.20 	-16 
112.95 	23.25 	-13 
112.95 	23.30 	-16 
112.95 	23.35 	12 
112.95 	23.40 	4 
112.95 	23.45 	-8 
112.95 	23.50 	20 
112.95 	23.55 	-11 
112.95 	23.60 	-1 
113.00 	22.40 	12 
113.00 	22.45 	-5 
113.00 	22.50 	-15 
113.00 	22.55 	13 
113.00 	22.60 	-7 
113.00 	22.65 	5 
113.00 	22.70 	15 
113.00 	22.75 	-13 
113.00 	22.80 	-10 
113.00 	22.85 	-3 
113.00 	22.90 	-13 
113.00 	22.95 	10 
113.00 	23.00 	-19 
113.00 	23.05 	7 
113.00 	23.10 	20 
113.00 	23.15 	14 
113.00 	23.20 	-17 
113.00 	23.25 	-15 
113.00 	23.30 	2 
113.00 	23.35 	-2 
113.00 	23.40 	-6 
113.00 	23.45 	-2 
113.00 	23.50 	-4 
113.00 	23.55 	-19 
113.00 	23.60 	6 
113.05 	22.40 	-7 
113.05 	22.45 	2 
113.05 	22.50 	-11 
113.05 	22.55 	4 
113.05 	22.60 	-7 
113.05 	22.65 	-11 
113.05 	22.70 	-20 
113.05 	22.75 	3 
113.05 	22.80 	17 
